cas_rn,substance,regs,syns,used_for,FEMA No,GRAS Pub No,Most Recent GRAS Pub Update,FEMA status,JECFA Flavor Number
977043-63-2,"2-ACETYL-3, 5(OR 6)-DIMETHYLPYRAZINE, MIXTURE OF ISOMERS",[],"['2-ACETYL-3', '5(OR 6)-DIMETHYLPYRAZINE']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",3327,6.0,25.0,,786
32974-92-8,2-ACETYL-3-ETHYLPYRAZINE,[],"['2-ACETYL-3-ETHYLPYRAZINE', 'ETHANONE', ' 1-(3-ETHYLPYRAZINYL)-', '2-ACETYL-3-ETHYL-1', '4-DIAZINE', '1-(3-ETHYLPYRAZINYL)ETHANONE']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",3250,5.0,,,785
142896-11-5,2-ACETYL-4-ISOPROPENYLPYRIDINE,[],"['2-ACETYL-4-ISPROPENYLPYRIDINE', 'ethanone', ' 1-(4-(1-methylethenyl)-2-pyridinyl)-', '1-(4-(1-methylethenyl)-2-pyridinyl)ethanone', '2-acetyl-4-(1-methylethenyl)pyridine']",['FLAVORING AGENT OR ADJUVANT'],4636,24.0,,,2153
142896-12-6,4-ACETYL-2-ISOPROPENYLPYRIDINE,[],"['4-ACETYL-2-ISOPROPENYLPYRIDINE', 'ethanone', ' 1-(2-(1-methylethenyl)-4-pyridinyl)-', '1-(2-(1-mehtyethenyl)-4-pyridinyl)ethanone', '4-acetyl-2-(1-methylethenyl)pyridine']",['FLAVORING AGENT OR ADJUVANT'],4637,24.0,,,2154
142896-09-1,2-ACETYL-4-ISOPROPYLPYRIDINE,[],"['2-ACETYL-4-ISOPROPYLPYRIDINE', 'ethanone', ' 1-(4-(1-methylethyl)-2-pyridinyl)-', '1-(4-(1-methylethyl)-2-pyridinyl)ethanone', '2-acetyl-4-(1-methylethyl)pyridine']",['FLAVORING AGENT OR ADJUVANT'],4638,24.0,,,2155
136954-25-1,3-ACETYLMERCAPTOHEXYL ACETATE,[],"['3-ACETYLMERCAPTOHEXYL ACETATE', 'ETHANETHIOIC ACID', ' S-(1-(2-(ACETYLOXY)ETHYL)BUTYL) ESTER', 'S-(1-(2-(ACETYLOXY)ETHYL)BUTYL) ETHANETHIOATE', '3-ACETYLTHIOHEXYL ACETATE', '3-ACETYLTHIOHEXYL ETHANOATE']",['FLAVORING AGENT OR ADJUVANT'],3816,18.0,,,494
65-82-7,N-ACETYL-L-METHIONINE,['172.372'],"['N-ACETYL-L-METHIONINE', 'ACETYLMETHIONINE', 'L-METHIONINE', ' N-ACETYL-', 'METHIONINE', ' N-ACETYL-', ' L-', 'N-ACETYLMETHIONINE', 'N-ACETYLMETHIONINE', ' L-']",['NUTRIENT SUPPLEMENT'],,,,,
4906-24-5,ACETYL METHYL CARBINYL ACETATE,[],"['ACETOIN ACETATE', 'ACETYL METHYL CARBINYL ACETATE', '3-(ACETYLOXY)-2-BUTANONE', '3-HYDROXY-2-BUTANONE ACETATE', '2-ACETOXY-3-BUTANONE', '2-BUTANON-3-YL ACETATE', '2-BUTANONE', ' 3-(ACETYLOXY)-', '2-BUTANONE', ' 3-HYDROXY-', ' ACETATE']",['FLAVORING AGENT OR ADJUVANT'],3526,11.0,,,406
1193-79-9,2-ACETYL-5-METHYLFURAN,[],"['2-ACETYL-5-METHYLFURAN', 'ETHANONE', ' 1-(5-METHYL-2-FURANYL)-', 'METHYL 5-METHYL-2-FURYL KETONE', 'KETONE', ' METHYL 5-METHYL-2-FURYL', '1-(5-METHYL-2-FURYL)ETHANONE', '1-(5-METHYL-2-FURANYL)ETHANONE']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",3609,12.0,25.0,,1504
23787-80-6,2-ACETYL-3-METHYLPYRAZINE,[],"['2-ACETYL-3-METHYLPYRAZINE', 'ETHANONE', ' 1-(3-METHYLPYRAZINYL)-', 'KETONE', ' METHYL 3-METHYLPYRAZINYL', 'METHYL 3-METHYLPYRAZINYL KETONE', '1-(3-METHYLPYRAZINYL)ETHAN-1-ONE', '2-METHYL-3-ACETYLPYRAZINE', '3-ACETYL-2-METHYLPYRAZINE']",['FLAVORING AGENT OR ADJUVANT'],3964,20.0,,,950
67860-38-2,4-ACETYL-2-METHYLPYRIMIDINE,[],"['4-ACETYL-2-METHYLPYRIMIDINE', 'ETHANONE', ' 1-(2-METHYL-4-PYRIMIDINYL)-', '1-(2-METHYL-4-PYRIMIDINYL)ETHANONE']",['FLAVORING AGENT OR ADJUVANT'],3654,13.0,,,1565
13679-74-8,2-ACETYL-5-METHYLTHIOPHENE,[],"['2-ACETYL-5-METHYLTHIOPHENE', 'ethanone', ' 1-(5-methyl-2-thienyl)-', '1-(5-methyl-2-thienyl)ethanone', 'ketone', ' methyl 5-methyl-2-thienyl', 'methyl 5-methyl-2-thienyl ketone', '2-methyl-5-acetylthiopene']",['FLAVORING AGENT OR ADJUVANT'],4643,24.0,,,2107
22047-25-2,ACETYLPYRAZINE,[],"['ACETYLPYRAZINE', 'METHYL PYRAZINYL KETONE', 'ETHANONE', ' 1-PYRAZINYL-', '1-PYRAZINYLETHANONE', 'KETONE', ' METHYL PYRAZINYL', '2-ACETYLPYRAZINE']",['FLAVORING AGENT OR ADJUVANT'],3126,4.0,,,784
1122-62-9,2-ACETYLPYRIDINE,[],"['METHYL 2-PYRIDYL KETONE', 'ETHANONE', ' 1-(2-PYRIDINYL)-', 'KETONE', ' METHYL 2-PYRIDYL', '2-ACETYLPYRIDINE', '2-ACETOPYRIDINE', '1-(2-PYRIDINYL)ETHANONE']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",3251,5.0,25.0,,1309
350-03-8,3-ACETYLPYRIDINE,[],"['METHYL 3-PYRIDYL KETONE', 'BETA-ACETYLPYRIDINE', 'ETHANONE', ' 1-(3-PYRIDINYL)-', 'METHYL BETA-PYRIDYL KETONE', 'METHYL PYRIDYL KETONE', 'KETONE', ' METHYL 3-PYRIDYL', '3-ACETYLPYRIDINE', '1-(3-PYRIDINYL)ETHANONE', '3-ACETOPYRIDINE']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",3424,8.0,25.0,,1316
99583-29-6,2-ACETYL-1-PYRROLINE,[],"['2-ACETYL-1-PYRROLINE', '1-(3', '4-dihydro-2H-pyrrol-2-yl)ethanone', 'ethanone', ' 1-(3', '4-dihydro-2H-pyrrol-2-yl)-']",['FLAVORING AGENT OR ADJUVANT'],4249,22.0,,,1604
13171-00-1,"4-ACETYL-6-TERT-BUTYL-1,1-DIMETHYLINDANE",[],"['4-ACETYL-6-TERT-BUTYL-1', '1-DIMETHYLINDANE', 'ETHANONE', ' 1-(6-(1', '1-DIMETHYLETHYL)-2', '3-DIHYDRO-1', '1-DIMETHYL-1H-INDEN-4-YL)-', 'KETONE', ' 6-TERT-BUTYL-1', '1-DIMETHYL-4-INDANYL METHYL', '1-(6-(1', '1-DIMETHYLETHYL)-2', '3-DIHYDRO-1', '1-DIMETHYL-1H-INDEN-4-YL)ETHANONE', '6-TERT-BUTYL-1', '1-DIMETHYL-4-INDANYL METHYL KETONE']",['FLAVORING AGENT OR ADJUVANT'],3653,13.0,,,812
24295-03-2,2-ACETYLTHIAZOLE,[],"['2-ACETYLTHIAZOLE', 'METHYL 2-THIAZOLYL KETONE', '2-THIAZOLYL METHYL KETONE', 'ETHANONE', ' 1-(2-THIAZOLYL)-', '1-(2-THIAZOLYL)ETHANONE', 'KETONE', ' METHYL 2-THIAZOLYL', '5-ACETYLTHIAZOLE', 'METHYL 5-THIAZOLYL KETONE']","['ANTIOXIDANT', 'FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT', 'PROCESSING AID', 'SURFACE-FINISHING AGENT']",3328,6.0,25.0,,1041
29926-41-8,2-ACETYL-2-THIAZOLINE,[],"['2-ACETYL-2-THIAZOLINE', 'ACETYLTHIAZOLINE-2', 'ETHANONE', ' 1-(4', '5-DIHYDRO-2-THIAZOLYL)-', 'KETONE', ' METHYL 2-THIAZOLIN-2-YL', 'METHYL 2-THIAZOLIN-2-YL KETONE', '1-(4', '5-DIHYDRO-2-THIAZOLYL)ETHANONE', '2-ACETYLTHIAZOLINE', '2-ACETYL-4', '5-DIHYDROTRIAZOLE']",['FLAVORING AGENT OR ADJUVANT'],3817,18.0,,,1759
55764-25-5,3-(ACETYLTHIO)-2-METHYLFURAN,[],"['3-(ACETYLTHIO)-2-METHYLFURAN', 'ETHANETHIOIC ACID', ' S-(2-METHYL-3-FURANYL) ESTER']",['FLAVORING AGENT OR ADJUVANT'],3973,20.0,21.0,,1069
499-12-7,ACONITIC ACID,['184.1007'],"['ACONITIC ACID', 'ACHILLEIC ACID', 'CITRIDIC ACID', 'EQUISETIC ACID', '1-PROPENE-1', '2', '3-TRICARBOXYLIC ACID', '1', '2', '3-PROPENETRICARBOXYLIC ACID', '3-CARBOXYGLUTACONIC ACID', '3-CARBOXY-2-PENTENEDIOIC ACID', 'ACHILLEAIC ACID', 'PYROCITRIC ACID']",['FLAVORING AGENT OR ADJUVANT'],2010,3.0,,,627
107-02-8,ACROLEIN,"['172.892', '176.3']","['ACROLEIN', 'ACRALDEHYDE', 'ACRYLIC ALDEHYDE', 'ALLYL ALDEHYDE', 'PROPENAL', '2-PROPENAL', 'ACRYLALDEHYDE', '2-PROPEN-1-ONE', 'PROP-2-ENAL']",['ANTIMICROBIAL AGENT'],,,,,
9003-06-9,ACRYLAMIDE-ACRYLIC ACID RESIN,"['173.5', '175.105', '176.11', '176.18']","['POLY(ACRYLAMIDE-CO-ACRYLIC ACID)', 'ACRYLAMIDE-ACRYLIC ACID COPOLYMER', 'ACRYLAMIDE-ACRYLIC ACID POLYMER', 'ACRYLAMIDE-ACRYLIC ACID RESIN', 'ACRYLIC ACID', ' POLYMER WITH ACRYLAMIDE', 'HYDROLYZED POLYACRYLAMIDE', 'POLYACRYLAMIDE', ' HYDROLYZED', 'POLYACRYLAMIDE', ' PARTIALLY HYDROLYZED', 'POLY(2-PROPENAMIDE-CO-2-PROPENOIC ACID)', '2-PROPENOIC ACID', ' POLYMER WITH 2-PROPENAMIDE', '2-PROPENAMIDE-2-PROPENOIC ACID POLYMER', '2-PROPENAMIDE', ' POLYMER WITH 2-PROPENOIC ACID']","['FLAVORING AGENT OR ADJUVANT', 'SURFACE-FINISHING AGENT']",,,,,
