cas_rn,substance,regs,syns,used_for,FEMA No,GRAS Pub No,Most Recent GRAS Pub Update,FEMA status,JECFA Flavor Number
977085-88-3,"WHEY, DEMINERALIZED","[' 135.110 ,  135.140 ,  163.124 ,  166.110']","['WHEY', ' REDUCED MINERALS', 'DEMINERALIZED WHEY', 'REDUCED MINERALS WHEY', 'WHEY', ' DEMINERALIZED', 'WHEY', ' ELECTRODIALYZED']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT', 'SOLVENT OR VEHICLE']",,,,,
977086-36-4,"WHEY, PARTIALLY DIMINERALIZED AND PARTIALLY DELACTOSED","[' 131.111 ,  131.112 ,  131.170 ,  131.200 ,  131.203 ,  131.206 ,  163.124 ,  166.110']","['WHEY', ' REDUCED MINERALS', ' REDUCED LACTOSE', 'DEMINERALIZED', ' DELACTOSED WHEY', 'REDUCED MINERALS', ' REDUCED LACTOSE WHEY', 'WHEY', ' DEMINERALIZED', ' DELACTOSED', 'WHEY', ' PARTIALLY DEMINERALIZED AND PARTIALLY DELACTOSED']",['FORMULATION AID'],,,,,
977102-05-8,WHEY PROTEIN CONCENTRATE,"[' 135.110 ,  135.140 ,  163.124']",['WHEY PROTEIN CONCENTRATE'],"['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT', 'NUTRIENT SUPPLEMENT', 'SOLVENT OR VEHICLE', 'STABILIZER OR THICKENER', 'TEXTURIZER']",,,,,
90045-28-6,"WINTERGREEN, EXTRACT (GAULTHERIA PROCUMBENS L.)",[],"['WINTERGREEN EXTRACT', 'GAULTHERIA EXTRACT', 'CHECKERBERRY EXTRACT', 'GAULTHERIA PROCUMBENS EXTRACT', 'GAULTHERIA PROCUMBENS', ' EXT.']",['FLAVORING AGENT OR ADJUVANT'],3112,3,,,
68917-75-9,"WINTERGREEN, OIL (GAULTHERIA PROCUMBENS L.)",[],"['WINTERGREEN OIL', 'BETULA OIL', 'CHECKERBERRY OIL', 'GAULTHERIA OIL', 'GAULTHERIA PROCUMBENS OIL', 'OILS', ' WINTERGREEN']",['FLAVORING AGENT OR ADJUVANT'],3113,3,,,
977070-09-9,"WOODRUFF, SWEET (ASPERULA ODORATA L.)",['172.51'],"['SWEET WOODRUFF', 'GALIUM ODORATUM', 'WALDMEISTER LEAF', 'ASPERULA ODORATA', 'ASPERULE', 'ASPERULA', 'QUINSYWORT', 'WOODRUFF', ' SWEET']",['FLAVORING AGENT OR ADJUVANT'],,,,,
977042-62-8,WORT,[],['WORT'],,,,,,
11138-66-2,XANTHAN GUM,"['172.695', '176.17', '177.135', ' 133.124 ,  133.178 ,  133.179']",['XANTHAN GUM'],"['ANTICAKING AGENT OR FREE-FLOW AGENT', 'COLOR OR COLORING ADJUNCT', 'DRYING AGENT', 'EMULSIFIER OR EMULSIFIER SALT', 'FORMULATION AID', 'PROCESSING AID', 'SOLVENT OR VEHICLE', 'STABILIZER OR THICKENER', 'SURFACE-FINISHING AGENT', 'TEXTURIZER']",,,,,
127-40-2,XANTHOPHYLL,"['73.275', '73.295', '73.315']","['XANTHOPHYLL', 'LUTEIN', 'VEGETABLE LUTEOL', 'BETA', 'EPSILON-CAROTENE-3', ""3'-DIOL"", ' (3R', ""3'R"", ""6'R)-"", 'XANTHOPHYLL', ' ALL-TRANS-(+)-']",,,,,,
95-87-4,"2,5-XYLENOL",[],"['2', '5-XYLENOL', 'XYLENOL', ' P-', '2', '5-DIMETHYLPHENOL', '3', '6-DIMETHYLPHENOL', '1-HYDROXY-2', '5-DIMETHYLBENZENE', 'PHENOL', ' 2', '5-DIMETHYL-', '1', '2', '5-XYLENOL']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",3595,11,25.0,,706
576-26-1,"2,6-XYLENOL",['177.246'],"['2', '6-XYLENOL', '2-HYDROXY-1', '3-DIMETHYLBENZENE', '2', '6-DIMETHYLPHENOL', 'PHENOL', ' 2', '6-DIMETHYL-', '1-HYDROXY-2', '6-DIMETHYLBENZENE']",['FLAVORING AGENT OR ADJUVANT'],3249,4,25.0,,707
95-65-8,"3,4-XYLENOL",[],"['3', '4-XYLENOL', '3', '4-DIMETHYLPHENOL', '1-HYDROXY-3', '4-DIMETHYLBENZENE', 'PHENOL', ' 3', '4-DIMETHYL-', '1', '3', '4-XYLENOL']",['FLAVORING AGENT OR ADJUVANT'],3596,11,25.0,,708
87-99-0,XYLITOL,"['172.395', ' 101.80 ,  101.9']",['XYLITOL'],"['HUMECTANT', 'NUTRITIVE SWEETENER']",,,,,
58-86-6,D-XYLOSE,[],"['XYLOSE', ' D-', 'WOOD SUGAR', 'XYLOSE', ' (+)-', 'D-XYLOSE', '2', '3', '4', '5-TETRAHYDROXYPENTANAL', 'XYLOSE', ' D-(+)-']","['FLAVORING AGENT OR ADJUVANT', 'NUTRITIVE SWEETENER']",3606,12,,,
977000-16-0,"YARROW, HERB (ACHILLEA MILLEFOLIUM L.)",['172.51'],"['YARROW', 'ACHILLEA MILLEFOLIUM', 'ACHILLEA', 'YARROW HERB', 'ACHILLEE', 'HERBE AUX CHARPENTIERS', 'MILLEFEUILLE', 'GARBE', 'GEMEINE SCHAFGARBE', 'MILLEFOGLIO', 'CIENTOENRAMA', 'MILENRAMA', 'MILHOJAS']",['FLAVORING AGENT OR ADJUVANT'],3117,3,,,
8022-07-9,"YARROW, OIL (ACHILLEA MILLEFOLIUM L.)",['172.51'],"['YARROW OIL', 'OILS', ' YARROW', 'ACHILLEA MILLEFOLIUM OIL']",['FLAVORING AGENT OR ADJUVANT'],,,,,
977046-75-5,YEAST AUTOLYSATE,[],"['YEAST AUTOLYSATE', 'YEAST', ' AUTOLYZED']","['ANTICAKING AGENT OR FREE-FLOW AGENT', 'DRYING AGENT', 'FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT', 'HUMECTANT', 'LEAVENING AGENT', 'MALTING OR FERMENTING AID', 'NUTRIENT SUPPLEMENT']",,,,,
977052-70-2,"YEAST, DRIED IRRADIATED",['137.305'],"['YEAST', ' IRRADIATED DRIED', 'DRIED IRRADIATED YEAST', 'IRRADIATED DRIED YEAST', 'IRRADIATED YEAST', 'YEAST', ' IRRADIATED', 'YEAST', ' DRIED IRRADIATED']",['NUTRIENT SUPPLEMENT'],,,,,
977082-78-2,YEAST EXTRACT AUTOLYZED,"[' 155.120 ,  155.130 ,  155.170 ,  155.200 ,  155.201']","['YEAST EXTRACT', ' AUTOLYZED', 'AUTOLYZED YEAST EXTRACT', 'EXTRACT', ' YEAST', ' AUTOLYZED', 'YEAST AUTOLYSATE EXTRACT']",,,,,,
977011-55-4,YEAST-MALT SPROUT EXTRACT,['172.59'],['YEAST-MALT SPROUT EXTRACT'],['FLAVORING AGENT OR ADJUVANT'],,,,,
977030-39-9,YEASTS,"[' 136.110 ,  160.105 ,  160.145 ,  160.185']","['YEAST', 'LEVURE']","['ANTICAKING AGENT OR FREE-FLOW AGENT', 'DRYING AGENT', 'FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT', 'HUMECTANT', 'LEAVENING AGENT', 'MALTING OR FERMENTING AID', 'NUTRIENT SUPPLEMENT']",,,,,
977009-36-1,"YEASTS, DRIED","['172.842', '172.896', ' 137.260 ,  139.115 ,  139.122 ,  139.155']","['YEAST', ' DRIED', 'DRIED YEAST', 'YEAST', ' ACTIVE DRY']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT', 'LEAVENING AGENT', 'MALTING OR FERMENTING AID', 'NUTRIENT SUPPLEMENT', 'SOLVENT OR VEHICLE']",,,,,
14434-22-1,YELLOW PRUSSIATE OF SODA,['172.49'],"['SODIUM FERROCYANIDE DECAHYDRATE', 'FERRATE(4-)', ' HEXAKIS(CYANO-C)-', ' TETRASODIUM', ' DECAHYDRATE', ' (OC-6-11)-', 'FERRATE(4-)', ' HEXACYANO-', ' TETRASODIUM', ' DECAHYDRATE', 'TETRASODIUM HEXAKIS(CYANO-C)FERRATE(4-) DECAHYDRATE', ' (OC-6-11)-', 'TETRASODIUM HEXACYANOFERRATE(4-) DECAHYDRATE', 'YELLOW PRUSSIATE OF SODA']","['ANTICAKING AGENT OR FREE-FLOW AGENT', 'DRYING AGENT', 'FORMULATION AID', 'HUMECTANT']",,,,,
977092-73-1,"YERBA SANTA, FLUID EXTRACT (ERIODICTYON CALIFORNICUM (HOOK AND ARN) TORR)",['172.51'],"['YERBA SANTA FLUIDEXTRACT', 'ERIODICTYON FLUIDEXTRACT', 'ERIODICTYON CALIFORNICUM FLUIDEXTRACT']",['FLAVORING AGENT OR ADJUVANT'],3118,3,,,
8006-81-3,"YLANG-YLANG, OIL (CANANGA ODORATA HOOK. F. AND THOMAS)",['182.2'],"['YLANG-YLANG OIL', 'CANANGIUM ODORATUM GENUINA OIL', 'OILS', ' YLANG-YLANG']",['FLAVORING AGENT OR ADJUVANT'],3119,3,,,
977083-21-8,"YUCCA, JOSHUA-TREE (YUCCA BREVIFOLIA ENGELM.)",['172.51'],"['JOSHUA TREE', 'YUCCA BREVIFOLIA', 'YUCCA', ' JOSHUA-TREE']","['FLAVORING AGENT OR ADJUVANT', 'PROPELLANT']",3120,3,,,
977083-20-7,"YUCCA, MOHAVE, EXTRACT (YUCCA SPP.)",['172.51'],"['MOJAVE YUCCA EXTRACT', 'YUCCA EXTRACT', ' MOHAVE', 'YUCCA SCHIDIGERA EXTRACT']","['FLAVORING AGENT OR ADJUVANT', 'PROPELLANT']",3121,3,,,
1123751-39-2,YUZUNONE,[],"['YUZUNONE', '6', '8', '10-undecatrien-3-one', ' (6Z', '8E)-']",['FLAVORING AGENT OR ADJUVANT'],4691,25,,,
84961-49-9,"ZEDOARY BARK, EXTRACT (CURCUMA ZEDOARIA (BERG.) ROSC.)",['182.2'],"['ZEDOARY EXTRACT', 'ZEDOARY BARK EXTRACT', 'CURCUMA ZEDOARIA', ' EXT.', 'CURCUMA ZEDOARIA EXTRACT']",['FLAVORING AGENT OR ADJUVANT'],3123,3,,,
977052-57-5,ZEDOARY (CURCUMA ZEDOARIA (BERG.) ROSC.),['182.1'],"['ZEDOARY', 'CURCUMA ZEDOARIA', 'INDIAN ARROWROOT', 'SHOTI', 'KHA MIN KHAO', 'WHITE TURMERIC']",['FLAVORING AGENT OR ADJUVANT'],3122,3,,,
9010-66-6,ZEIN POWDER,"['175.105', '184.1984']","['ZEIN', 'ZEIN RESIN', 'ZEIN POWDER', 'ZEINS']","['ANTICAKING AGENT OR FREE-FLOW AGENT', 'DRYING AGENT', 'HUMECTANT']",,,,,
557-34-6,ZINC ACETATE,['175.105'],"['ZINC ACETATE', 'ACETIC ACID', ' ZINC SALT', 'ZINC DIACETATE', 'ZINC(II) ACETATE']",,,,,,
3486-35-9,ZINC CARBONATE,"['176.17', '177.168', '177.226', '177.26', '178.3297']","['ZINC CARBONATE', 'CARBONIC ACID', ' ZINC SALT (1:1)', 'C.I. 77950', 'ZINC MONOCARBONATE']",['NUTRIENT SUPPLEMENT'],,,,,
7646-85-7,ZINC CHLORIDE,"['182.7', '182.8985']","['ZINC CHLORIDE', 'BUTTER OF ZINC', 'ZINC CHLORIDE (ZNCL2)', 'ZINC(II) CHLORIDE', 'ZINC BUTTER']",['NUTRIENT SUPPLEMENT'],,,,,
7779-86-4,ZINC DITHIONITE,"['177.28', '182.9']","['ZINC DITHIONITE', 'ZINC HYDROSULFITE', 'DITHIONOUS ACID', ' ZINC SALT (1:1)']",['NUTRIENT SUPPLEMENT'],,,,,
4468-02-4,ZINC GLUCONATE,['182.8988'],"['ZINC GLUCONATE', 'ZINC', ' BIS(D-GLUCONATO-O1', 'O2)-', 'ZINC BIS(D-GLUCONATO-O1', 'O2)']",['NUTRIENT SUPPLEMENT'],,,,,
56329-42-1,ZINC METHIONINE SULFATE,['172.399'],"['ZINC METHIONINE SULFATE', '(L-METHIONINATO-N', 'O', 'S) HYDROGEN (SULFATO(2)-O) ZINCATE(1-)', ' (T-4)-', 'ZINCATE(1-)', ' (L-METHIONINATO-N', 'O.S)(SULFATO(2)-O)-', ' HYDROGEN', ' (T-4)-', 'ZINC METHIONINE BISULFATE']",['NUTRIENT SUPPLEMENT'],,,,,
1314-13-2,ZINC OXIDE,"['73.1991', '73.2991', '175.3', '176.17', '177.168', '177.226', '178.3297', '182.8991']","['ZINC OXIDE', 'FLOWERS OF ZINC', 'ZINC OXIDE (ZNO)']","['COLOR OR COLORING ADJUNCT', 'NUTRIENT SUPPLEMENT']",,,,,
557-05-1,ZINC STEARATE,"['175.3', '176.18', '177.146', '177.19', '177.241', '178.201', '182.8994']","['ZINC STEARATE', 'OCTADECANOIC ACID', ' ZINC SALT', 'ZINC OCTADECANOATE', 'STEARIC ACID', ' ZINC SALT', 'ZINC DISTEARATE']",['NUTRIENT SUPPLEMENT'],,,,,
7446-20-0,ZINC SULFATE,"['182.8997', '182.9']","['ZINC SULFATE', 'ZINC SULFATE HEPTAHYDRATE', 'SULFURIC ACID', ' ZINC SALT (1:1)', ' HEPTAHYDRATE', 'ZINC SULFATE (ZNSO4) HEPTAHYDRATE']","['MALTING OR FERMENTING AID', 'NUTRIENT SUPPLEMENT']",,,,,
122-48-5,ZINGERONE,['172.515'],"['ZINGERONE', '(4-HYDROXY-3-METHOXYPHENYL)ETHYL METHYL KETONE', 'VANILLYLACETONE', 'ZINGIBERONE', '2-(4-HYDROXY-3-METHOXYPHENYL)ETHYL METHYL KETONE', '3-METHOXY-4-HYDROXYBENZYLACETONE', '4-(4-HYDROXY-3-METHOXYPHENYL)-2-BUTANONE', '4-HYDROXY-3-METHOXYBENZYLACETONE', '2-BUTANONE', ' 4-(4-HYDROXY-3-METHOXYPHENYL)-', 'GINGERONE']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",3124,3,25.0,,730
119-61-9,BENZOPHENONE,[],"['BENZOPHENONE', 'BENZOYLBENZENE', 'DIPHENYL KETONE', 'DIPHENYLMETHANONE', 'ALPHA-OXODIPHENYLMETHANE', 'PHENYL KETONE', 'METHANONE', ' DIPHENYL-']",['FLAVORING AGENT OR ADJUVANT'],2134,3,25.0,,831
140-88-5,ETHYL ACRYLATE,"['175.105', '175.3', '175.32', '175.36', '176.17', '177.101', '177.12', '177.163', '177.242', '178.379']","['ETHYL ACRYLATE', 'ETHYL PROPENOATE', 'ACRYLIC ACID ETHYL ESTER', '2-PROPENOIC ACID', ' ETHYL ESTER', 'ETHYL 2-PROPENOATE']",['FLAVORING AGENT OR ADJUVANT'],2418,3,25.0,,1351
93-15-2,EUGENYL METHYL ETHER--NLFG,[],"['EUGENYL METHYL ETHER', '4-ALLYLVERATROLE', '1', '2-DIMETHOXY-4-ALLYLBENZENE', '3', '4-DIMETHOXYALLYLBENZENE', '1', '2-DIMETHOXY-4-(2-PROPEN-1-YL)BENZENE', '4-ALLYL-1', '2-DIMETHOXYBENZENE', 'O-METHYL EUGENOL', 'METHYL EUGENYL ETHER', 'BENZENE', ' 1', '2-DIMETHOXY-4-(2-PROPENYL)-', '1', '2-DIMETHOXY-4-(2-PROPENYL)BENZENE', 'BENZENE', ' 4-ALLYL-1', '2-DIMETHOXY-']",,NLFG-2475," 3, 25",28.0," No longer FEMA GRAS (GRAS Pub. 28, 2018)",1790
123-35-3,BETA-MYRCENE,[],"['MYRCENE', '7-METHYL-3-METHYLENE-1', '6-OCTADIENE', 'MYRCENE', ' BETA-', '2-METHYL-6-METHYLENE-2', '7-OCTADIENE', '1', '6-OCTADIENE', ' 7-METHYL-3-METHYLENE-', 'BETA-MYRCENE']",['FLAVORING AGENT OR ADJUVANT'],2762,3,,,1327
89-82-7,PULEGONE,[],"['PULEGONE', 'P-MENTH-4(8)-EN-3-ONE', 'PULEGONE', ' D-', '1-METHYL-4-ISOPROPYLIDENE-3-CYCLOHEXANONE', '4(8)-P-MENTHEN-3-ONE', ' DELTA-', '1-ISOPROPYLIDENE-4-METHYL-2-CYCLOHEXANONE', 'CYCLOHEXANONE', ' 5-METHYL-2-(1-METHYLETHYLIDENE)', ' (5R)-', '5-METHYL-2-(1-METHYLETHYLIDENE)CYCLOHEXANONE', ' (R)-', 'P-MENTH-4(8)-EN-3-ONE', ' (R)-(+)-', 'PULEGONE', ' (+)-']",['FLAVORING AGENT OR ADJUVANT'],2963,3,25.0,,753
110-86-1,PYRIDINE,"['177.158', '177.1585']","['PYRIDINE', 'AZABENZENE', 'AZINE']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2966,3,,,
100-42-5,STYRENE--NLFG,"['173.2', '173.25', '175.105', '175.3', '175.32', '175.38', '175.39', '176.17', '176.18', '177.101', '177.102', '177.103', '177.104', '177.121', '177.163']","['STYRENE', 'STYROL', 'PHENYLETHYLENE', 'VINYLBENZENE', 'ETHENYLBENZENE', 'PHENYLETHENE', 'VINYLBENZOL', 'BENZENE', ' ETHENYL-']",,NLFG-3233,4,27.0," No longer FEMA GRAS (GRAS Pub. 27, 2015)",
9002-18-0,AGAR (GELIDIUM SPP.),['184.1115'],"['AGAR', 'AGAR-AGAR', 'JAPAN ISINGLASS', 'ISINGLASS', ' JAPANESE', 'AGAR-AGAR (GRACILARIA LICHENOIDES)']","['EMULSIFIER OR EMULSIFIER SALT', 'FLAVOR ENHANCER', 'PROCESSING AID', 'STABILIZER OR THICKENER', 'SURFACE-FINISHING AGENT', 'TEXTURIZER']",2012,3,,,
9005-38-3,"ALGINATE, SODIUM","['173.31', '184.1724', ' 133.178 ,  133.179']","['SODIUM ALGINATE', 'ALGIN GUM', 'ALGINIC ACID', ' SODIUM SALT', 'ALGINATE', ' SODIUM']","['EMULSIFIER OR EMULSIFIER SALT', 'FIRMING AGENT', 'FLAVOR ENHANCER', 'FORMULATION AID', 'PROCESSING AID', 'STABILIZER OR THICKENER', 'SURFACE-ACTIVE AGENT', 'TEXTURIZER']",2015,3,,,
50-81-7,ASCORBIC ACID,"['172.28', '182.3013', '182.8013', ' 101.14 ,  101.9 ,  107.100 ,  137.105 ,  137.200 ,  145.110 ,  145.115 ,  145.135 ,  145.170 ,  146.185 ,  146.187  ,  155.200 ,  155.201 ,  161.175']","['ASCORBIC ACID', 'VITAMIN C', 'ASCORBIC ACID', ' L-', 'CEVITAMIC ACID', 'L-ASCORBIC ACID', 'XYLOASCORBIC ACID', ' L-', 'HEX-2-ENONIC ACID GAMMA-LACTONE', ' L-THREO-']","['ANTIMICROBIAL AGENT', 'ANTIOXIDANT', 'COLOR OR COLORING ADJUNCT', 'DOUGH STRENGTHENER', 'FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT', 'NUTRIENT SUPPLEMENT', 'PH CONTROL AGENT', 'SEQUESTRANT', 'STABILIZER OR THICKENER']",2109,3,,,
65-85-0,BENZOIC ACID,"['175.3', '177.139', '184.1021', '166.110']","['BENZOIC ACID', 'BENZENECARBOXYLIC ACID', 'BENZENEFORMIC ACID', 'CARBOXYBENZENE', 'DRACYLIC ACID', 'PHENYLCARBOXYLIC ACID', 'PHENYLFORMIC ACID', 'BENZENEMETHANOIC ACID']","['ANTIMICROBIAL AGENT', 'FLAVORING AGENT OR ADJUVANT', 'PH CONTROL AGENT']",2131,3,,,850
10035-04-8,CALCIUM CHLORIDE,"['172.56', '178.101', '184.1193', ' 133.102 ,  133.108 ,  133.111 ,  133.113 ,  133.118 ,  133.127 ,  133.136 ,  133.138 ,  133.141 ,  133.144 ,  133.147 ,  133.149 ,  133.152 ,  133.153 ,  133.156 ,  133.157 ,  133.164 ,  133.165 ,  133.179 ,  133.182 ,  133.183 ,  133.185 ,  133.187 ,  133.188, 133.189, 133.190, 133.195, 145.145']","['CALCIUM CHLORIDE', 'CALCIUM CHLORIDE DIHYDRATE', 'CALCIUM DICHLORIDE', 'CALCIUM CHLORIDE (CACL2)', ' DIHYDRATE', 'CALCIUM CHLORIDE', ' DIHYDRATE']","['ANTICAKING AGENT OR FREE-FLOW AGENT', 'DRYING AGENT', 'ENZYME', 'FIRMING AGENT', 'FREEZING OR COOLING AGENT', 'DIRECT CONTACT', 'FUMIGANT', 'HUMECTANT', 'MALTING OR FERMENTING AID', 'PH CONTROL AGENT', 'PROCESSING']",,,,,
813-94-5,CALCIUM CITRATE,"['182.6195', '184.1195', ' 133.169 ,  133.173 ,  133.179']","['CALCIUM CITRATE', 'TRICALCIUM CITRATE', 'CITRIC ACID', ' CALCIUM SALT (2:3)', 'TRICALCIUM DICITRATE', 'CALCIUM CITRATE', ' TRIBASIC', '1', '2', '3-PROPANETRICARBOXYLIC ACID', ' 2-HYDROXY-', ' CALCIUM SALT (2:3)', 'CALCIUM 2-HYDROXY-1', '2', '3-PROPANETRICARBOXYLATE (3:2)', 'calcium citrate (Ca3(O7C6H5)2)']","['FIRMING AGENT', 'NUTRIENT SUPPLEMENT', 'PH CONTROL AGENT', 'SEQUESTRANT']",,,,,
299-28-5,CALCIUM GLUCONATE,['184.1199'],"['CALCIUM GLUCONATE', 'CALCIUM HEXAGLUCONATE', 'CALCIUM D-GLUCONATE (1:2)', 'D-GLUCONIC ACID', ' CALCIUM SALT (2:1)', 'GLUCONIC ACID', ' CALCIUM SALT (2:1)', ' D-']","['FIRMING AGENT', 'FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT', 'FORMULATION AID', 'NUTRIENT SUPPLEMENT', 'SEQUESTRANT', 'STABILIZER OR THICKENER', 'TEXTURIZER']",,,,,
814-80-2,CALCIUM LACTATE,"['184.1207', '145.145']","['CALCIUM LACTATE', 'CALCIUM 2-HYDROXYPROPANOATE (1:2)', 'PROPANOIC ACID', ' 2-HYDROXY-', ' CALCIUM SALT (2:1)', 'LACTIC ACID', ' CALCIUM SALT (2:1)', 'CALCIUM LACTATE (1:2)']","['DOUGH STRENGTHENER', 'FIRMING AGENT', 'FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT', 'LEAVENING AGENT', 'MALTING OR FERMENTING AID', 'NUTRIENT SUPPLEMENT', 'PH CONTROL AGENT', 'STABILIZER OR THICKENER']",,,,,
7758-23-8,"CALCIUM PHOSPHATE, MONOBASIC","['175.3', '182.1217', '182.6215', '182.8217', ' 136.110 ,  136.115 ,  137.165 ,  137.175 ,  137.180 ,  137.270']","['CALCIUM PHOSPHATE', ' MONOBASIC', 'ACID CALCIUM PHOSPHATE', 'CALCIUM BIPHOSPHATE', 'CALCIUM PHOSPHATE (1:2)', 'CALCIUM DIHYDROGEN PHOSPHATE', 'CALCIUM TETRAHYDROGEN PHOSPHATE', 'MONOCALCIUM PHOSPHATE', 'MONOCALCIUM PHOSPHATE', ' ANHYDROUS', 'MONOBASIC CALCIUM PHOSPHATE', 'MONOCALCIUM ORTHOPHOSPHATE', 'MONOCALCIUM PHOSPHATE', ' MONOBASIC', 'PHOSPHORIC ACID', ' CALCIUM SALT (2:1)']","['DOUGH STRENGTHENER', 'FIRMING AGENT', 'FLOUR TREATING AGENT', 'LEAVENING AGENT', 'MALTING OR FERMENTING AID', 'NUTRIENT SUPPLEMENT', 'PH CONTROL AGENT', 'SEQUESTRANT', 'STABILIZER OR THICKENER']",,,,,
4075-81-4,CALCIUM PROPIONATE,"['179.45', '181.23', '184.1221', ' 133.123 ,  133.124 ,  133.169 ,  133.173 ,  133.179 ,  136.110 ,  136.115']","['CALCIUM PROPIONATE', 'PROPANOIC ACID', ' CALCIUM SALT', 'CALCIUM PROPANOATE', 'PROPIONIC ACID', ' CALCIUM SALT', 'CALCIUM DIPROPIONATE', 'PROPIONATE', ' CALCIUM']","['ANTIMICROBIAL AGENT', 'ANTIOXIDANT']",,,,,
7778-18-9,CALCIUM SULFATE,"['175.3', '176.17', '178.3297', '184.123', ' 133.102 ,  133.106 ,  133.111 ,  133.141 ,  133.165 ,  133.181 ,  133.183 ,  133.195 ,  137.105']","['CALCIUM SULFATE', 'CALCIUM SULFATE', ' ANHYDROUS', 'SULFURIC ACID', ' CALCIUM SALT (1:1)', 'CALCIUM SULFATE (1:1)']","['ANTICAKING AGENT OR FREE-FLOW AGENT', 'DRYING AGENT', 'FORMULATION AID', 'LEAVENING AGENT', 'LUBRICANT OR RELEASE AGENT', 'MALTING OR FERMENTING AID', 'NUTRIENT SUPPLEMENT', 'PH CONTROL AGENT', 'PROCESSING AID', 'STABILIZER OR THICKENER']",,,,,
9004-32-4,"CARBOXYMETHYL CELLULOSE, SODIUM SALT","['173.31', '175.105', '182.1745', ' 133.178 ,  133.179']","['SODIUM CARBOXYMETHYL CELLULOSE', 'CARBOXYMETHYLCELLULOSE SODIUM', 'CELLULOSE', ' CARBOXYMETHYL ETHER', ' SODIUM SALT', 'SODIUM CELLULOSE GLYCOLATE', 'SODIUM CARBOXYMETHYLCELLULOSE']","['ANTICAKING AGENT OR FREE-FLOW AGENT', 'DRYING AGENT', 'EMULSIFIER OR EMULSIFIER SALT', 'FORMULATION AID', 'HUMECTANT', 'STABILIZER OR THICKENER', 'TEXTURIZER']",,,,,
9000-07-1,CARRAGEENAN,"['172.62', '172.625', '182.7255', ' 133.178 ,  133.179 ,  136.110 ,  139.121 ,  139.122']","['CARRAGEENAN', 'CARRAGEENIN', 'CHONDRUS EXTRACT', 'IRISH MOSS EXTRACT', 'CARRAGHEEN GUM', 'CARRAGEENAN', ' KAPPA', 'LAMBDA-', 'IRISH MOSS GELOSE']","['ANTICAKING AGENT OR FREE-FLOW AGENT', 'DRYING AGENT', 'EMULSIFIER OR EMULSIFIER SALT', 'FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT', 'FORMULATION AID', 'HUMECTANT', 'PROCESSING AID', 'STABILIZER OR THICKENER', 'TEXTURIZER']",2596,3,,,
977043-69-8,CARRAGEENAN AND SALTS OF CARRAGEENAN,"['172.626', '176.17', ' 136.110 ,  139.121 ,  139.122']",['CARRAGEENAN/CARRAGEENAN SALT'],"['EMULSIFIER OR EMULSIFIER SALT', 'STABILIZER OR THICKENER']",,,,,
9004-67-5,"CELLULOSE, METHYL","['175.105', '175.21', '175.3', '176.2', '177.226', '182.148']","['METHYLCELLULOSE', 'CELLULOSE METHYL ETHER', 'METHYL CELLULOSE', 'CELLULOSE', ' METHYL ETHER']","['EMULSIFIER OR EMULSIFIER SALT', 'FLAVOR ENHANCER', 'STABILIZER OR THICKENER']",2696,3,,,
977010-51-7,FRUIT JUICE,"['73.25', ' 131.110 ,  131.115 ,  131.120 ,  131.122 ,  131.123 ,  131.124 ,  131.127 ,  131.130 ,  131.132 ,  131.135 ,  131.143 ,  131.147 ,  131.149 ,  131.150 ,  131.155 ,  131.157 ,  131.160 ,  131.162 ,  131.180 ,  131.185 ,  131.187 ,  135.110 ,  135.140 ,  145.3,  145.110, 145.120, 145.125, 145.135, 145.140, 145.145, 145.170, 145.175, 145.180, 145.185, 145.190, 146.126, 150.110, 150.140']","['FRUIT JUICE', 'JUS DE FRUITS', 'JUICE', ' FRUIT']","['COLOR OR COLORING ADJUNCT', 'NUTRIENT SUPPLEMENT']",,,,,
110-17-8,FUMARIC ACID,"['172.35', '172.808', '172.81', '172.822', '175.105', '175.3', '175.32', '176.17', '177.12', '177.242']","['FUMARIC ACID', 'BOLETIC ACID', 'BUTENEDIOIC ACID', ' TRANS-', 'ALLOMALEIC ACID', 'ALLOMALENIC ACID', 'ETHYLENE-1', '2-DICARBOXYLIC ACID', ' TRANS-ALPHA', 'BETA-', '1', '2-ETHYLENEDICARBOXYLIC ACID', ' TRANS-', '2-BUTENEDIOIC ACID (E)-']","['ANTIMICROBIAL AGENT', 'CURING OR PICKLING AGENT', 'FLAVORING AGENT OR ADJUVANT', 'LEAVENING AGENT', 'PH CONTROL AGENT']",2488,3,25.0,,618
