cas_rn,substance,regs,syns
12001-33-1,"ASPHALT, NAPHTHENIC",175.105,['ASPHALT NAPHTHENIC']
977079-20-1,"ASPHALT, PARAFFINIC",175.105,[]
123-99-9,AZELAIC ACID,"175.105, 175.3, 175.32, 177.139, 177.15, 177.163","['LEPARGYLIC ACID', 'NONANEDIOIC ACID', '1,7-HEPTANEDICARBOXYLIC ACID', '1,7-DICAROXYHEPTANE', '1,9-NONANEDIOIC ACID', 'ANCHOIC ACID']"
78-67-1,AZO-BIS-ISOBUTYRONITRILE,"175.105, 176.17, 177.242","[""2,2'-AZOBISISOBUTYRONITRILE"", 'AZOISOBUTYRODINITRILE', 'AZOBIS(ISOBUTYRONITRILE)', ""PROPANENITRILE, 2,2'-AZOBIS(2-METHYL-"", ""PROPIONITRILE, 2,2'-AZOBIS(2-METHYL-"", ""2,2'-AZOBIS(2-METHYLPROPIONITRILE)"", ""2,2'-AZOBIS(2-METHYLPROPENENITRILE)""]"
123-77-3,AZODICARBONAMIDE,"172.806, 177.121, 177.26, 178.301, 136.110 ,  137.105 ,  137.200","['DIAZENEDICARBOXAMIDE', ""FORMAMIDE, 1,1'-AZOBIS-"", ""1,1'-AZOBIS(FORMAMIDE)"", ""1,1'-BIUREA, DELTA-"", 'AZODICARBOXAMIDE']"
9005-99-6,BALATA RUBBER,"175.105, 177.121","['RUBBER, BALATA', 'BALATA']"
543-80-6,BARIUM ACETATE,175.105,"['ACETIC ACID, BARIUM SALT', 'BARIUM DIACETATE']"
17194-00-2,BARIUM HYDROXIDE,177.241,['BARIUM HYDROXIDE (BA(OH)2)']
13701-59-2,BARIUM METABORATE,176.18,"['BORIC ACID (HBO2), BARIUM SALT', 'BARIUM BORATE (BAB2O4)']"
1304-29-6,BARIUM PEROXIDE,175.105,['BARIUM PEROXIDE (BA(O2))']
7727-43-7,BARIUM SULFATE,"175.105, 175.3, 176.17, 177.26, 178.3297","['BLANC FIXE', 'C.I. PIGMENT WHITE 21', 'C.I. 77120', 'PIGMENT WHITE 21', 'SULFURIC ACID, BARIUM SALT (1:1)']"
977176-46-7,BEECHNUT FATTY ACIDS,175.3,[]
8015-74-5,BEECHNUT OIL,175.3,"['OILS, BEECH']"
3061-75-4,BEHENAMIDE,177.12,"['BEHENYLAMIDE', 'DOCOSANAMIDE']"
1302-78-9,BENTONITE,"175.105, 175.3, 176.17, 178.3297, 184.1155",[]
977059-10-1,"BENTONITE, MODIFIED WITH DIMETHYLDIOCTADECYLAMMONIUM ION","176.17, 178.3297","['DIMETHYLDISTEARYLAMMONIUM BENTONITE', 'DIOCTADECYLDIMETHYLAMMONIUM BENTONITE']"
71-43-2,BENZENE,"172.56, 175.105","['COAL NAPHTHA', 'BENZOL', 'BENZENE, UNREFINED', 'BENZENE, CRUDE', 'CYCLOHEXATRIENE']"
108-45-2,"1,3-BENZENEDIAMINE","177.228, 177.255","['C.I. 76025', '1,3-BENZENEDIAMINE', 'DIAMINOBENZENE, M-', 'M-PHENYLENEDIAMINE']"
57569-40-1,"1,4-BENZENEDICARBOXYLIC ACID, BIS(2-(1,1-DIMETHYLETHYL)-6-((3-(1,1-DIMETHYLETHYL)-2-HYDROXY-5-METHYLPHENYL)METHYL)-4-METHYLPHENYL)ESTER","175.105, 178.201","['BIS(2-TERT-BUTYL-4-METHYL-6-(3-TERT-BUTYL-5-METHYL-2-HYDROXYBENZYL)PHENYL) TEREPHTHALATE', 'BIS(2-(1,1-DIMETHYLETHYL)-6-((3-(1,1-DIMETHYLETHYL)-2-HYDROXY-5-METHYLPHENYL)METHYL)-4-METHYLPHENYL) 1,4-BENZENEDICARBOXYLATE', '1,4-BENZENEDICARBOXYLIC ACID, BIS(2-(1,1-DIMETHYLETHYL)-6-((3-(1,1-DIMETHYLETHYL)-2-HYDROXY-5-METHYLPHENYL)METHYL)-4-METHYLPHENYL) ESTER']"
175419-23-5,"1,4-BENZENEDICARBOXYLIC ACID, POLYMER WITH 1,4-BUTANEDIOL, (E)-2-BUTENEDIOIC ACID, 1,2-ETHANEDIOL, ETHYL 2-PROPENOATE, HEXANEDIOIC ACID AND 2-PROPENOIC ACID, GRAFT",177.15,"['1,4-BENZENEDICARBOXYLIC ACID, POLYMER WITH 1,4-BUTANEDIOL, (E)-2-BUTENEDIOIC ACID, 1,2-ETHANEDIOL, ETHYL 2-PROPENOATE, HEXANEDIOIC ACID AND 2-PROPENOIC ACID, GRAFT']"
4422-95-1,"1,3,5-BENZENETRICARBONYL TRICHLORIDE",177.255,"['1,3,5-BENZENETRICARBONYL TRICHLORIDE', '1,3,5-BENZENETRICARBONYL CHLORIDE', 'TRIMESIC ACID TRICHLORIDE', '1,3,5-BENZENETRICARBOXYLIC ACID CHLORIDE', '1,3,5-BENZENETRICARBOXYLIC CHLORIDE', 'TRIMESOYL TRICHLORIDE']"
121-54-0,BENZETHONIUM CHLORIDE,175.105,"['BENZYLDIMETHYL(((P-TERT-OCTYLPHENOXY)ETHOXY)ETHYL)AMMONIUM CHLORIDE', 'BENZYLDIMETHYL(DIISOBUTYLPHENOXYETHOXYETHYL)AMMONIUM CHLORIDE', 'BENZENEMETHANAMINIUM, N,N-DIMETHYL-N-(2-(2-(4-(1,1,3,3-TETRAMETHYLBUTYL)PHENOXY)ETHOXY)ETHYL)-, CHLORIDE', 'AMMONIUM, BENZYLDIMETHYL(2-(2-(P-(1,1,3,3-TETRAMETHYLBUTYL)PHENOXY)ETHOXY)ETHYL)-, CHLORIDE', 'BENZYLDIMETHYL(2-(2-(P-(1,1,3,3-TETRAMETHYLBUTYL)PHENOXY)ETHOXY)ETHYL)AMMONIUM CHLORIDE', 'DIISOBUTYLPHENOXYETHOXYETHYL DIMETHYL BENZYL AMMONIUM CHLORIDE', 'DIISOBUTYLPHENOXYETHOXYETHYLDIMETHYLBENZYLAMMONIUM CHLORIDE', 'OCTYLPHENOXYETHOXYETHYLDIMETHYLBENZYLAMMONIUM CHLORIDE', 'N,N-DIMETHYL-N-(2-(2-(4-(1,1,3,3-TETRAMETHYLBUTYL)PHENOXY)ETHOXY)ETHYLBENZENEMETHANAMINIUM CHLORIDE', 'OCTYLPHENOXYETHOXYETHYLDIMETHYLBENZYLAMMONIUM CHLORIDE, P-TERT-']"
2634-33-5,"1,2-BENZISOTHIAZOLIN-3-ONE","175.105, 176.17, 176.18, 176.3, 177.26","['BENZISOTHIAZOLONE', '1,2-BENZISOTHIAZOLONE', '3-HYDROXY-1,2-BENZISOTHIAZOLE', '1,2-BENZISOTHIAZOL-3(2H)-ONE']"
271-89-6,BENZOFURAN,175.105,"['COUMARONE', '2,3-BENZOFURAN', 'BENZO(B)FURAN', 'R 7204', 'AT 33852']"
91-76-9,BENZOGUANAMINE,"175.105, 175.3","['2,4-DIAMINO-6-PHENYL-1,3,5-TRIAZINE', '6-PHENYL-1,3,5-TRIAZINE-2,4-DIAMINE', '1,3,5-TRIAZINE-2,4-DIAMINE, 6-PHENYL-', 'S-TRIAZINE, 2,4-DIAMINO-6-PHENYL-', '2,4-DIAMINO-6-PHENYL-S-TRIAZINE']"
65-85-0,BENZOIC ACID,"175.3, 177.139, 184.1021, 166.110","['BENZENECARBOXYLIC ACID', 'BENZENEFORMIC ACID', 'CARBOXYBENZENE', 'DRACYLIC ACID', 'PHENYLCARBOXYLIC ACID', 'PHENYLFORMIC ACID', 'BENZENEMETHANOIC ACID']"
106-51-4,"1,4-BENZOQUINONE",177.242,"['BENZOQUINONE, P-', 'QUINONE, P-', 'P-BENZOQUINONE', '2,5-CYCLOHEXADIENE-1,4-DIONE']"
105-11-3,BENZOQUINONE DIOXIME,177.26,"['1,4-BENZOQUINONE DIOXIME', 'P-BENZOQUINONE, DIOXIME', 'QUINONE DIOXIME, P-', 'QUINONE OXIME, P-', '2,5-CYCLOHEXADIENE-1,4-DIONE, DIOXIME']"
95-30-7,2-BENZOTHIAZOLYL DIETHYLDITHIOCARBAMATE,177.26,"['CARBAMODITHIOIC ACID, DIETHYL-, 2-BENZOTHIAZOYL ESTER', 'CARBAMIC ACID, DIETHYLDITHIO-, 2-BENZOTHIAZOLYL ESTER', 'N,N-DIETHYLTHIOCARBAMOYL 2-BENZOTHIAZOLYL SULFIDE', '2-BENZOTHIAZYL-N,N-DIETHYLTHIOCARBAMYLSULFIDE', '2-BENZOTHIAZOLYL DIETHYLCARBAMODITHIOATE']"
95-14-7,BENZOTRIAZOLE,178.391,"['1,2,3-BENZOTRIAZOLE', 'BENZOTRIAZOLE', '1,2,3-TRIAZA-1H-INDENE', '1,2,3-TRIAZAINDENE', '1,2-AMINOAZOPHENYLENE', '2,3-DIAZAINDOLE', 'AZIMIDOBENZENE', 'AZIMINOBENZENE', 'BENZENE AZIMIDE', 'BENZISOTRIAZOLE']"
70321-86-7,"2-(2H-BENZOTRIAZOL-2-YL)-4,6-BIS(1-METHYL-1-PHENYLETHYL)PHENOL",178.201,"['PHENOL, 2-(2H-BENZOTRIAZOL-2-YL)-4,6-BIS(1-METHYL-1-PHENYLETHYL)-', '2-BENZOTRIAZOL-2-YL-4,6-BIS(ALPHA,ALPHA-DIMETHYLBENZYL)PHENOL']"
3147-75-9,"2-(2H-BENZOTRIAZOL-2-YL)-4-(1,1,3,3-TETRAMETHYLBUTYL) PHENOL",178.201,"['2-(2-HYDROXY-5-TERT-OCTYLPHENYL)BENZOTRIAZOLE', '2-(2H-BENZOTRIAZOL-2-YL)-4-(1,1,3,3-TETRAMETHYLBUTYL)PHENOL', 'PHENOL, 2-(2H-BENZOTRIAZOL-2-YL)-4-(1,1,3,3-TETRAMETHYLBUTYL)-', '2-BENZOTRIAZOLYL-4-TERT-OCTYLPHENOL']"
2444-19-1,P-BENZOXYPHENOL,175.105,"['BENZOXYPHENOL, P-', 'HYDROXYPHENYL BENZOATE, P-', 'HYDROQUINONE, MONOBENZOATE', '1,4-BENZENEDIOL, MONOBENZOATE', '4-(BENZOYLOXY)PHENOL']"
98-88-4,BENZOYL CHLORIDE,177.1556,['BENZENECARBONYL CHLORIDE']
1204-28-0,"BENZOYL CHLORIDE-3,4-DICARBOXYLIC ANHYDRIDE",177.245,"['BENZOYL CHLORIDE 3,4-DICARBOXYLIC ACID ANHYDRIDE', 'PHTHALIC ANHYDRIDE, 4-(CHLOROFORMYL)-', 'TRIMELLITIC ANHYDRIDE ACID CHLORIDE', '1,3-DIHYDRO-1,3-DIOXO-5-ISOBENZOFURANCARBONYL CHLORIDE', '4-TRIMELLITOYL ANHYDRIDE CHLORIDE', '5-ISOBENZOFURANCARBONYL CHLORIDE, 1,3-DIHYDRO-1,3-DIOXO-', '4-(CHLOROFORMYL)PHTHALIC ANHYDRIDE']"
