cas_rn,substance,regs,syns
57-57-8,PROPIOLACTONE,175.105,"['BETA-PROPIONOLACTONE', 'BETA-PROPIOLACTONE', '2-OXETANONE', '3-HYDROXYPROPIONIC ACID LACTONE', 'HYDRACRYLIC ACID, BETA-LACTONE', '3-HYDROXYPROPANOIC ACID BETA-LACTONE']"
79-09-4,PROPIONIC ACID,"178.101, 184.1081","['ETHYLFORMIC ACID', 'METHYLACETIC ACID', 'C3 ACID', 'PROPANOIC ACID']"
64253-30-1,"1,11-(3,6,9-TRIOXAUNDECYL) BIS-3-(DODECYLTHIO) PROPRIONATE",178.201,"['PROPANOIC ACID, 3-(DODECYLTHIO)-, OXYBIS(2,1-ETHANEDIYL) ESTER', 'OXYBIS(2,1-ETHANEDIYL) BIS(3-(DODECYLTHIO)PROPANOATE)', '1,11-(3,6,9-TRIOXAUNDECYL) BIS(3-(DODECYLTHIO)PROPANOATE)']"
109-60-4,PROPYL ACETATE,"172.515, 177.12","['PROPYL ETHANOATE', 'ACETIC ACID, PROPYL ESTER', '1-ACETOXYPROPANE']"
925-60-0,PROPYL ACRYLATE,"175.105, 175.32, 176.17, 176.18, 177.12, 177.163","['2-PROPENOIC ACID, PROPYL ESTER', 'PROPYL 2-PROPENOATE', 'ACRYLIC ACID, PROPYL ESTER']"
71-23-8,PROPYL ALCOHOL,"172.515, 175.105, 176.18, 176.21, 177.12","['PROPANOL', '1-PROPANOL', 'ETHYLCARBINOL', 'PROPYLIC ALCOHOL', '1-HYDROXYPROPANE']"
115-07-1,PROPYLENE,"175.105, 175.3, 177.12, 177.152, 177.198, 177.225, 177.26","['1-PROPENE', 'PROPENE', 'METHYLETHYLENE', '1-PROPYLENE']"
108-32-7,PROPYLENE CARBONATE,175.105,"['1,3-DIOXALAN-2-ONE, 4-METHYL-', 'CARBONIC ACID, CYCLIC PROPYLENE ESTER', 'CYCLIC PROPYLENE CARBONATE', 'CARBONIC ACID, PROPYLENE ESTER', '4-METHYL-1,3-DIOXALAN-2-ONE', 'CYCLIC METHYLETHYLENE CARBONATE']"
57-55-6,PROPYLENE GLYCOL,"73.3, 175.3, 175.32, 176.18, 176.21, 177.139, 177.168, 177.242, 177.26, 177.28, 178.33, 184.1666, 169.175","['1,2-PROPANEDIOL', '1,2-PROPYLENE GLYCOL', '1,2-DIHYDROXYPROPANE', '2-HYDROXYPROPANOL', 'PROPANE-1,2-DIOL', 'ISOPROPYLENE GLYCOL', 'ALPHA-PROPYLENE GLYCOL', 'METHYLETHYLENE GLYCOL']"
9005-37-2,PROPYLENE GLYCOL ALGINATE,"172.21, 172.858, 173.34, 176.17, 133.178 ,  133.179","['ALGINIC ACID, ESTER WITH 1,2-PROPANEDIOL', 'PROPANE-1,2-DIOL ALGINATE', '1,2-PROPANEDIOL ALGINATE', '1,2-PROPYLENE GLYCOL ALGINATE']"
19224-26-1,PROPYLENE GLYCOL DIBENZOATE,175.105,"['1,2-PROPANEDIOL DIBENZOATE', '1,2-PROPANEDIOL, DIBENZOATE']"
7559-82-2,PROPYLENE GLYCOL DIMETHACRYLATE,177.101,"['METHACRYLIC ACID, PROPYLENE ESTER', 'PROPYLENE DIMETHACRYLATE', '1,2-PROPANEDIYL DIMETHACRYLATE', '1-METHYL-1,2-ETHANEDIYL BIS(2-METHYL-2-PROPENOATE)', '2-PROPENOIC ACID, 2-METHYL-, 1-METHYL-1,2-ETHANEDIYL ESTER']"
977050-70-6,PROPYLENE GLYCOL MONO- AND DIESTERS OF FATS AND FATTY ACIDS,"172.856, 173.34, 176.17, 136.11","['PROPYLENE GLYCOL MONO- AND DIESTERS OF FATS AND FATTY ACIDS', 'PROPANE-1,2-DIOL, FATTY ACID ESTERS', 'PROPYLENE GLYCOL, FATTY ACID ESTERS', 'PROPYLENE GLYCOL, FATTY ACID MONO- AND DIESTERS', '1,2-PROPYLENE GLYCOL, FATTY ACID ESTERS']"
977030-94-6,PROPYLENE GLYCOL MONOESTER OF SOYBEAN OIL FATTY ACIDS,"175.3, 176.2, 176.21, 177.28",[]
977030-93-5,PROPYLENE GLYCOL MONOESTER OF TALLOW FATTY ACIDS,"176.2, 176.21, 177.28",['PROPYLENE GLYCOL TALLOWATE']
27194-74-7,PROPYLENE GLYCOL MONOLAURATE,"172.856, 175.105","['DODECANOIC ACID, MONOESTER WITH 1,2-PROPANEDIOL', 'LAURIC ACID, MONOESTER WITH 1,2-PROPANEDIOL', 'PROPYLENE GLYCOL MONODODECANOATE', '1,2-PROPANEDIYL MONODODECANOATE', '1,2-PROPANEDIOL, MONOLAURATE', '1,2-PROPANEDIYL MONOLAURATE']"
1320-67-8,PROPYLENE GLYCOL MONOMETHYL ETHER,"175.105, 176.18, 176.3, 181.3","['METHOXYPROPANOL', 'MONOPROPYLENE GLYCOL METHYL ETHER', 'PROPANOL, METHOXY-', 'PROPANOL, 1(OR 2)-METHOXY-', '1(OR 2)-METHOXYPROPANOL']"
1323-39-3,PROPYLENE GLYCOL STEARATE,175.105,"['PROPYLENE GLYCOL MONOOCTADECANOATE', 'PROPYLENE GLYCOL OCTADECANOATE', 'OCTADECANOIC ACID, MONOESTER WITH 1,2-PROPANEDIOL', 'STEARIC ACID, MONOESTER WITH 1,2-PROPANEDIOL', '1,2-PROPANEDIOL MONOOCTADECANOATE', '1,2-PROPANEDIOL, MONOSTEARATE', '1,2-PROPYLENE GLYCOL MONOSTEARATE']"
75-56-9,PROPYLENE OXIDE,"172.892, 175.105, 176.21","['1,2-PROPYLENE OXIDE', '1,2-EPOXYPROPANE', 'METHYLOXIRANE', 'OXIRANE, METHYL-', 'PROPANE, 1,2-EPOXY-']"
14595-35-8,PROPYL FUMARATE,"175.105, 175.3, 176.17, 176.18","['2-BUTENEDIOIC ACID (E)-, DIPROPYL ESTER', 'DIPROPYL 2-BUTENEDIOATE, (E)-', 'FUMARIC ACID, DIPROPYL ESTER']"
121-79-9,PROPYL GALLATE,"172.615, 175.125, 175.3, 175.38, 175.39, 176.17, 177.101, 177.121, 177.135, 181.24, 184.166, 166.11","['BENZOIC ACID, 3,4,5-TRIHYDROXY-, PROPYL ESTER', 'PROPYL 3,4,5-TRIHYDROXYBENZOATE', 'GALLIC ACID, PROPYL ESTER']"
2432-63-5,PROPYL MALEATE,"175.3, 176.17, 176.18","['2-BUTENEDIOIC ACID (Z)-, DIPROPYL ESTER', 'DIPROPYL 2-BUTENEDIOATE, (Z)-', 'MALEIC ACID, DIPROPYL ESTER', 'PROPYL MALEATE']"
2210-28-8,PROPYL METHACRYLATE,"175.32, 176.17, 176.18, 177.101, 177.12, 177.163","['2-PROPENOIC ACID, 2-METHYL-, PROPYL ESTER', 'PROPYL 2-METHYL-2-PROPENOATE', 'METHACRYLIC ACID, PROPYL ESTER']"
111-59-1,PROPYL OLEATE,,"['OLEIC ACID, PROPYL ESTER', '9-OCTADECENOIC ACID (9Z)-, PROPYL ESTER', 'PROPYL 9-OCTADECENOATE, (Z)-', 'PROPYL CIS-9-OCTADECENOATE']"
68954-62-1,"PROPYL OLEATE, SULFATED",177.28,"['PROPYL 9-OCTADECENOATE (9Z), SULFATED', 'SULFATED PROPYL OLEATE', '9-OCTADECENOIC ACID (9Z)-, PROPYL ESTER, SULFATED']"
31019-46-2,PROPYLPHENOL,,"['PHENOL, PROPYL-']"
65996-61-4,"PULP, CELLULOSE","177.146, 177.19, 177.226, 186.1673","['CELLULOSE PULP', 'PULP, WOOD', 'WOOD PULP']"
977087-80-1,"PULP, RECLAIMED FIBER","176.18, 176.26",[]
8016-49-7,PUMPKIN SEED OIL,175.3,[]
977176-51-4,PUMPKINSEED OIL FATTY ACIDS,175.3,[]
129-00-0,PYRENE,,"['BETA-PYRENE', 'BENZO(DEF)PHENANTHRENE']"
977009-49-6,PYRETHRINS,178.373,[]
110-86-1,PYRIDINE,"177.158, 177.1585","['AZABENZENE', 'AZINE']"
499-83-2,"2,6-PYRIDINEDICARBOXYLIC ACID",178.101,"['DPAC', '2,6-DICARBOXYPYRIDINE', '2,6-DIPICOLINIC ACID', '6-CARBOXYPICOLINIC ACID']"
5468-43-9,1-(2-HYDROXYETHYL)PYRIDINIUM 2-MERCAPTOBENZOTHIAZOLE,175.105,"['BETA-HYDROXYETHYL PYRIDINIUM 2-MERCAPTOBENZOTHIAZOLE', 'PYRIDINIUM, 1-(2-HYDROXYETHYL)-, SALT WITH 2(3H)-BENZOTHIAZOLETHIONE (1:1)', 'PYRIDINIUM, 1-(2-HYDROXYETHYL)-, SALT WITH 2-BENZOTHIAZOLETHIOL (1:1)', '2-HYDROXYETHYLPYRIDINIUM 2-MERCAPTOBENZOTHIAZOLE', '1-(2-HYDROXYETHYL)PYRIDINIUM 2(3H)-BENZOTHIAZOLETHIONE', '1-(2-HYDROXYETHYL)PYRIDINIUM 2-BENZOTHIAZOLETHIOL']"
72102-84-2,"5-((2,3-DIHYDRO-6-METHYL-2-OXO-1H-BENZIMIDAZOL-5-YL)AZO)-2,4,6(1H,3H,5H)-PYRIMIDINETRIONE",178.3297,"['C.I. 12760', 'CROMOPHTAL ORANGE GP', 'PIGMENT ORANGE 64', '2,4,6(1H,3H,5H)-PYRIMIDINETRIONE, 5-((2,3-DIHYDRO-6-METHYL-2-OXO-1H-BENZIMIDAZOL-5-YL)AZO)-', '5-((2,3-DIHYDRO-6-METHYL-2-OXO-1H-BENZIMIDAZOL-5-YL)AZO)-2,4,6(1H,3H,5H)-PYRIMIDINETRIONE']"
6402-30-8,PYROCATECHOL BORATE,,[]
89-32-7,PYROMELLITIC DIANHYDRIDE,177.163,"['PYROMELLITIC ACID ANHYDRIDE', 'PYROMELLITIC 1,2:4,5-DIANHYDRIDE', 'PYROMELLITIC ACID DIANHYDRIDE', '1,2,4,5-BENZENETETRACARBOXYLIC 1,2:4,5-DIANHYDRIDE', ""1H,3H-BENZO(1,2-C:4,5-C')DIFURAN-1,3,5,7-TETRONE""]"
977066-07-1,QUATERNIUM-8,175.105,"['ALKYLDIMETHYL(ETHYLBENZYL)AMMONIUM CYCLOHEXYLSULFAMATE', 'ALKYL(C12-18)DIMETHYL(ETHYLBENZYL)AMMONIUM CYCLOHEXYLSULFAMATE']"
68953-58-2,QUATERNIUM-18 BENTONITE,178.357,"['BIS(HYDROGENATED TALLOW ALKYL)DIMETHYLAMMONIUM BENTONITE', 'DIMETHYL DI(HYDROGENATED TALLOW) AMMONIUM BENTONITE', 'DI(HYDROGENATED TALLOW)DIMETHYLAMMONIUM BENTONITE', 'QUATERNARY AMMONIUM COMPOUNDS, BIS(HYDROGENATED TALLOW ALKYL)DIMETHYL, SALTS WITH BENTONITE']"
1047-16-1,"QUINACRIDONE RED (C.I. PIGMENT VIOLET 19, C.I. NO. 73900)","175.3, 178.3297","['C.I. 46500', 'C.I. 73900', 'MONASTRAL RED', 'QUINACRIDONE VIOLET', 'QUINACRIDONE', 'PIGMENT VIOLET 19', 'QUINO(2,3-B)ACRIDINE-7,14-DIONE, 5,12-DIHYDRO-', 'QUINACRIDONE RED', '5,12-DIHYDROQUINO(2,3-B)ACRIDINE-7,14-DIONE']"
8002-13-9,RAPESEED OIL,"176.18, 176.21, 177.28","['COLZA OIL', 'RAPE OIL', 'OILS, GLYCERIDIC, RAPESEED', 'OILS, GLYCERIDIC, COLZA', 'OILS, COLZA', 'OILS, RAPE', 'BRASSICA NAPUS OIL', 'OIL, CANOLA (RAPESEED)']"
68554-11-0,"RAPESEED OIL, BLOWN","176.21, 177.12","['RAPESEED OIL, BLOWN']"
85711-54-2,RAPESEED OIL FATTY ACIDS,"176.21, 177.28","['COLZA OIL FATTY ACIDS', 'FATTY ACIDS, RAPE-OIL']"
977149-71-5,"RAPESEED OIL FATTY ACIDS, HYDROGENATED, METHYL ESTERS","176.21, 177.28","['HYDROGENATED RAPESEED OIL FATTY ACIDS, METHYL ESTERS']"
73891-99-3,"RAPESEED OIL FATTY ACIDS, METHYL ESTERS","176.21, 177.28","['RAPESEED OIL, METHYL ESTER', 'RAPE OIL, ME ESTER', 'RAPE OIL FATTY ACIDS, METHYL ESTERS']"
84681-71-0,"RAPESEED OIL, HYDROGENATED","176.18, 176.21, 177.28, 184.1555","['COLZA OIL, HYDROGENATED', 'HYDROGENATED COLZA OIL', 'OIL, CANOLA (RAPESEED), HYDROGENATED', 'RAPESEED OIL, HYDROGENATED', 'RAPE OIL, HYDROGENATED']"
977012-00-2,RAPESEED OIL MONOGLYCERIDES,176.21,[]
977147-62-8,"RAPESEED OIL, OXIDIZED",177.28,"['COLZA OIL, OXIDIZED', 'OXIDIZED RAPESEED OIL', 'OXIDIZED COLZA OIL']"
8016-53-3,"RAPESEED OIL, SULFATED","176.21, 177.28","['RAPE OIL, SULFATED']"
977118-96-9,"RAPESEED OIL, SULFATED, SODIUM SALT","176.17, 177.28",[]
977101-54-4,RAPESEED OIL TRIGLYCERIDES,"176.21, 177.28",[]
68153-37-7,"RAPESEED OIL, VULCANIZED","175.125, 177.26","['RAPE OIL, SULFURIZED']"
977139-25-5,RAW SIENNA,"175.3, 176.17, 178.3297","['SIENNA, RAW']"
61788-77-0,RAYON,"176.17, 177.226, 177.28","['CELLULOSE FIBER, REGENERATED', 'VISCOSE FIBER']"
977125-14-6,"RAYON, PURIFIED",,[]
977017-45-0,"RESIN, POLYCARBONATED","177.12, 177.158, 178.1005",[]
108-46-3,RESORCINOL,177.121,"['RESORCIN', 'DIHYDROXYBENZENE, M-', '1,3-BENZENEDIOL', 'C.I. 76505', 'BENZENEDIOL, M-', '1,3-DIHYDROXYBENZENE', 'HYDROQUINONE, M-', 'HYDROXYPHENOL, M-', '3-HYDROXYPHENOL']"
136-36-7,RESORCINOL MONOBENZOATE,177.101,"['RESORCINOL, MONOBENZOATE', '1,3-BENZENEDIOL, MONOBENZOATE', '3-HYDROXYPHENYL BENZOATE', '1,3-BENZENEDIOL MONOBENZOATE']"
483-65-8,RETENE,,[]
68553-81-1,RICEBRAN OIL,"176.21, 177.226, 177.28","['FATS AND GLYCERIDIC OILS, RICE BRAN']"
977077-43-2,"RICEBRAN OIL, BLOWN","176.21, 177.28","['OXIDIZED RICE BRAN OIL', 'RICE BRAN OIL, BLOWN', 'RICE BRAN OIL, OXYGENATED']"
93685-98-4,"RICEBRAN OIL, HYDROGENATED","176.21, 177.28","['FATS AND GLYCERIDIC OILS, RICE BRAN, HYDROGENATED', 'RICE BRAN OIL, HYDROGENATED']"
68989-94-6,"RICEBRAN OIL, SULFATED","176.21, 177.28","['FATS AND GLYCERIDIC OILS, RICE BRAN, SULFATED', 'RICE BRAN OIL, SULFONATED', 'SULFATED RICE BRAN OIL']"
84082-24-6,"RICE BRAN OIL, SULFATED AMMONIUM SALT","176.17, 176.18, 176.2","['OILS, RICE BRAN, SULFATED, AMMONIUM SALTS']"
8028-42-0,"RICEBRAN OIL, SULFATED, METHYL ESTERS","176.21, 177.28","['RICE BRAN OIL, SULFATED, ME ESTERS']"
8016-58-8,"RICE BRAN OIL, SULFATED POTASSIUM SALT","176.17, 176.18, 176.2, 176.21, 177.28","['OILS, GLYCERIDIC, RICE BRAN, SULFATED, POTASSIUM SALTS']"
8016-59-9,"RICE BRAN OIL, SULFATED SODIUM SALT","176.17, 176.18, 176.2, 176.21, 177.28","['FATS AND GLYCERIDIC OILS, RICE BRAN, SULFATED, SODIUM SALTS']"
8016-60-2,RICE BRAN WAX,"172.615, 172.89, 178.386","['WAXES AND WAXY SUBSTANCES, RICE BRAN']"
141-22-0,RICINOLEIC ACID,,"['9-OCTADECENOIC ACID, 12-HYDROXY-, (9Z,12R)-', '12-HYDROXY-9-OCTADECENOIC ACID, (R-(Z))-', '12-HYDROXYOLEIC ACID', 'RICINIC ACID', '12-HYDROXY-9-CIS-OCTADECENOIC ACID']"
65997-11-7,"ROSIN, ADDUCT WITH FUMARIC ACID, PENTAERYTHRITOL ESTER","73.1, 175.105, 175.32","['FUMARIC ACID-ROSIN PENTAERYTHRITOL ESTER', 'FUMARIC ACID-PENTAERYTHRITOL-ROSIN COPOLYMER', 'ROSIN, FUMARATED-PENTAERYTHRITOL COPOLYMER', 'ROSIN, FUMARATED, PENTAERYTHRITOL ESTER', 'ROSIN, FUMARATED, POLYMER WITH PENTAERYTHRITOL']"
61789-65-9,"ROSIN, ALUMINUM SALT","175.105, 175.3","['ALUMINUM RESINATE', 'RESIN ACIDS AND ROSIN ACIDS, ALUMINUM SALTS']"
68649-89-8,"ROSIN, AMMONIUM SALT","175.105, 176.2, 178.312, 178.38, 178.385, 178.387","['RESIN ACIDS AND ROSIN ACIDS, AMMONIUM SALTS']"
68334-35-0,"ROSIN, CALCIUM ZINC SALT","175.105, 176.2, 178.312, 178.38, 178.385, 178.387","['CALCIUM ZINC RESINATE', 'RESIN ACIDS AND ROSIN ACIDS, CALCIUM ZINC SALTS', 'ZINC CALCIUM RESINATE']"
91081-19-5,"ROSIN, CERIUM SALT",175.3,"['CERIUM RESINATE', 'RESIN ACIDS AND ROSIN ACIDS, CERIUM(3+) SALTS', 'CERIUM(III) RESINATE']"
977163-48-6,"ROSIN, CITRATED, GLYCEROL ESTER",178.387,"['CITRIC ACID-MODIFIED ROSIN, GLYCEROL ESTER', 'CITRIC ACID-MODIFIED GLYCEROL ESTER OF ROSIN']"
68956-82-1,"ROSIN, COBALT SALT",175.3,"['COBALT RESINATE', 'RESIN ACIDS AND ROSIN ACIDS, COBALT SALTS']"
8050-18-8,"ROSIN, DECARBOXYLATED","175.105, 175.3",[]
68153-38-8,"ROSIN, DIETHYLENE GLYCOL ESTER","175.105, 175.3","['ROSIN ACID, DIETHYLENE GLYCOL ESTER', 'RESIN ACIDS AND ROSIN ACIDS, ESTERS WITH DIETHYLENE GLYCOL']"
977035-23-6,"ROSIN, DISPROPORTIONATED","175.105, 175.3, 176.2, 178.312, 178.38, 178.385, 178.387","['DISPROPORTIONATED ROSIN', 'ROSIN, CATALYTICALLY DISPROPORTIONATED']"
977035-30-5,"ROSIN, DISPROPORTIONATED, ALUMINUM SALT",175.105,[]
977035-37-2,"ROSIN, DISPROPORTIONATED, POTASSIUM SALT","175.105, 176.2, 178.312, 178.38, 178.385, 178.387",[]
977035-44-1,"ROSIN, DISPROPORTIONATED, SODIUM SALT","175.105, 176.2, 178.312, 178.38, 178.385, 178.387",[]
977140-27-5,ROSIN ESTERS MODIFIED WITH XYLENOL-FORMALDEHYDE,175.105,[]
68512-65-2,"ROSIN, ETHYLENE GLYCOL ESTER","175.105, 175.3","['RESIN ACIDS AND ROSIN ACIDS, ESTERS WITH ETHYLENE GLYCOL']"
977096-95-9,"ROSIN, FORMALDEHYDE MODIFIED",175.105,[]
977047-88-3,"ROSIN, FULLY DIMERIZED","175.105, 175.3, 176.2, 178.312, 178.38, 178.385, 178.387",['FULLY DIMERIZED ROSIN']
977013-65-2,"ROSIN, FULLY DIMERIZED, AMMONIUM SALT","175.105, 176.2, 178.312, 178.38, 178.385, 178.387",[]
68648-50-0,"ROSIN, FULLY DIMERIZED, CALCIUM SALT","175.105, 176.2, 178.312, 178.38, 178.385, 178.387","['RESIN ACIDS AND ROSIN ACIDS, DIMERS, CALCIUM SALTS']"
8050-23-5,"ROSIN, FULLY DIMERIZED, GLYCEROL ESTER","175.105, 175.3, 176.2, 178.312, 178.38, 178.385, 178.387","['GLYCEROL ESTER OF FULLY DIMERIZED ROSIN', 'RESIN ACIDS AND ROSIN ACIDS, DIMERS, ESTERS WITH GLYCEROL']"
977013-67-4,"ROSIN, FULLY DIMERIZED, POTASSIUM SALT","175.105, 176.2, 178.312, 178.38, 178.385, 178.387",[]
977013-68-5,"ROSIN, FULLY DIMERIZED, SODIUM SALT","175.105, 176.2, 178.312, 178.38, 178.385, 178.387",[]
977013-69-6,"ROSIN, FULLY DIMERIZED, ZINC SALT","175.105, 176.2, 178.312, 178.38, 178.385, 178.387",[]
65997-04-8,"ROSIN, FUMARATED",175.105,"['ROSIN, FUMARIC ACID ADDUCT', 'FUMARIC ACID-MODIFIED ROSIN']"
8050-31-5,"ROSIN, GLYCEROL ESTER","175.105, 175.3","['GLYCEROL ESTER OF ROSIN', 'RESIN ACIDS AND ROSIN ACIDS, ESTERS WITH GLYCEROL']"
977035-48-5,"ROSIN, GUM, GLYCEROL ESTER","172.615, 172.735, 175.105, 175.3, 175.32","['GLYCEROL ESTER OF GUM ROSIN', 'ROSIN, GUM, GLYCEROL ESTER']"
977074-36-4,"ROSIN, GUM OR WOOD, PARTIALLY HYDROGENATED, GLYCEROL ESTER","172.615, 175.105, 175.3",['GLYCEROL ESTER OF PARTIALLY HYDROGENATED GUM OR WOOD ROSIN']
977045-82-1,"ROSIN, GUM OR WOOD, PARTIALLY HYDROGENATED, PENTAERYTHRITOL ESTER","172.615, 175.105, 175.3",['PENTAERYTHRITOL ESTER OF PARTIALLY HYDROGENATED GUM OR WOOD ROSIN']
977045-81-0,"ROSIN, GUM OR WOOD, PENTAERYTHRITOL ESTER","172.615, 175.105, 175.3",['PENTAERYTHRITOL ESTER OF GUM OR WOOD ROSIN']
65997-06-0,"ROSIN, HYDROGENATED","175.105, 175.3, 176.2, 178.312, 178.38, 178.385, 178.387",[]
977038-02-0,"ROSIN, HYDROGENATED, ALUMINUM SALT",175.105,[]
68649-88-7,"ROSIN, HYDROGENATED, AMMONIUM SALT","175.105, 176.2, 178.312, 178.38, 178.385, 178.387","['RESIN ACIDS AND ROSIN ACIDS, HYDROGENATED, AMMONIUM SALTS']"
68554-12-1,"ROSIN, HYDROGENATED, CALCIUM SALT","175.105, 176.2, 178.312, 178.38, 178.385, 178.387","['RESIN ACIDS AND ROSIN ACIDS, HYDROGENATED, CALCIUM SALTS']"
65997-13-9,"ROSIN, HYDROGENATED, GLYCEROL ESTER","175.105, 175.3","['HYDROGENATED ROSIN, GLYCEROL ESTER', 'RESIN ACIDS AND ROSIN ACIDS, HYDROGENATED, ESTERS WITH GLYCEROL']"
977038-03-1,"ROSIN, HYDROGENATED, MAGNESIUM SALT",175.105,[]
8050-15-5,"ROSIN, HYDROGENATED, METHYL ESTER","175.105, 175.3","['HYDROGENATED ROSIN, METHYL ESTER', 'RESIN ACIDS AND ROSIN ACIDS, HYDROGENATED, ME ESTERS']"
64365-17-9,"ROSIN, HYDROGENATED, PENTAERYTHRITOL ESTER","175.105, 175.3","['RESIN ACIDS AND ROSIN ACIDS, HYDROGENATED, ESTERS WITH PENTAERYTHRITOL']"
68990-01-2,"ROSIN, HYDROGENATED, POTASSIUM SALT","175.105, 176.2, 178.312, 178.38, 178.385, 178.387","['RESIN ACIDS AND ROSIN ACIDS, HYDROGENATED, POTASSIUM SALTS']"
68990-02-3,"ROSIN, HYDROGENATED, SODIUM SALT","175.105, 176.2, 178.312, 178.38, 178.385, 178.387","['RESIN ACIDS AND ROSIN ACIDS, HYDROGENATED, SODIUM SALTS']"
68648-53-3,"ROSIN, HYDROGENATED, TRIETHYLENE GLYCOL ESTER",175.105,"['RESIN ACIDS AND ROSIN ACIDS, HYDROGENATED, ESTERS WITH TRIETHYLENE GLYCOL']"
68425-02-5,"ROSIN, HYDROGENATED, ZINC SALT","175.105, 176.2, 178.312, 178.38, 178.385, 178.387","['RESINACIDS AND ROSIN ACIDS, HYDROGENATED, ZINC SALTS']"
61788-80-5,"ROSIN, IRON SALT",175.3,"['IRON RESINATE', 'RESIN ACIDS AND ROSIN ACIDS, IRON SALTS']"
9007-13-0,"ROSIN, LIMED","73.1, 175.105, 175.3","['CALCIUM RESINATE', 'ROSIN, LIMED', 'RESIN ACIDS AND ROSIN ACIDS, CALCIUM SALTS']"
977114-74-1,"ROSIN, LITHIUM SALT",175.3,['LITHIUM RESINATE']
68440-56-2,"ROSIN, MAGNESIUM SALT","175.105, 175.3","['MAGNESIUM RESINATE', 'RESIN ACIDS AND ROSIN ACIDS, MAGNESIUM SALTS']"
8050-28-0,"ROSIN, MALEATED",175.105,"['maleic rosin ester', 'maleic anhydride rosin ester', 'maleic acid-modified rosin', 'colophony, maleated', 'maleic modified ester of colophony']"
68038-41-5,"ROSIN, MALEATED, GLYCEROL ESTER","175.105, 175.3","['GLYCERIN-MALEIC ANHYDRIDE ROSIN POLYMER', 'ROSIN, MALEATED, POLYMER WITH GLYCEROL']"
120883-67-2,"ROSIN, MALEATED METHYL AND ETHYLENE GLYCOL ESTERS","175.105, 175.3","['MALEIC ANHYDRIDE-METHYL ABIETATE-ETHYLENE GLYCOL ESTER', 'RESIN ACIDS AND ROSIN ACIDS, ME ESTERS, MALEATED, ESTERS WITH ETHYLENE GLYCOL', 'ROSIN, METHYL ESTER, MALEATED, ETHYLENE GLYCOL ESTERS']"
68554-23-4,"ROSIN, MALEATED METHYL AND PENTAERYTHRITOL ESTER","175.105, 175.3","['METHYL ROSINATE-MALEATED ROSIN-PENTAERYTHRITOL COPOLYMER', 'RESIN ACIDS AND ROSIN ACIDS, ME ESTERS, POLYMERS WITH MALEATED ROSIN']"
68333-69-7,"ROSIN, MALEATED, PENTAERYTHRITOL ESTER","175.105, 175.3","['PENTAERYTHRITOL MALEATED ROSIN', 'ROSIN, MALEATED, POLYMER WITH PENTAERYTHRITOL']"
977123-86-6,"ROSIN, MALEIC ANHYDRIDE-PHTHALIC ANHYDRIDE CONDENSED WITH GLYCEROL",175.105,[]
9008-34-8,"ROSIN, MANGANESE SALT",175.3,"['MANGANESE RESINATE', 'RESIN ACIDS AND ROSIN ACIDS, MANGANESE SALTS']"
68186-14-1,"ROSIN, METHYL ESTER","175.105, 175.3, 177.12, 178.387",[]
977035-88-3,"ROSIN, METHYL ESTER, PARTIALLY HYDROGENATED","172.515, 172.615, 175.105, 175.3, 176.2, 178.312, 178.38, 178.385, 178.387","['METHYL ESTER OF ROSIN, PARTIALLY HYDROGENATED', 'ROSIN, METHYL ESTER, PARTIALLY HYDROGENATED']"
977139-94-8,"ROSIN, MODIFIED WITH ALKYL(C1-C9)PHENOL-FORMALDEHYDE AND GLYCERIN",175.105,[]
8002-16-2,ROSIN OIL,175.105,[]
977013-70-9,"ROSIN, PARTIALLY DIMERIZED","175.105, 175.3, 176.2, 178.312, 178.38, 178.385, 178.387",['PARTIALLY DIMERIZED ROSIN']
977038-04-2,"ROSIN, PARTIALLY DIMERIZED, ALUMINUM SALT",175.105,[]
977013-71-0,"ROSIN, PARTIALLY DIMERIZED, AMMONIUM SALT","175.105, 176.2, 178.312, 178.38, 178.385, 178.387",[]
977051-86-7,"ROSIN, PARTIALLY DIMERIZED, CALCIUM SALT","172.21, 175.105, 176.2, 178.312, 178.38, 178.385, 178.387",['CALCIUM SALT OF PARTIALLY DIMERIZED ROSIN']
977013-72-1,"ROSIN, PARTIALLY DIMERIZED, GLYCEROL ESTER","172.615, 175.105, 175.3, 176.2, 178.312, 178.38, 178.385, 178.387",['GLYCEROL ESTER OF PARTIALLY DIMERIZED ROSIN']
977038-05-3,"ROSIN, PARTIALLY DIMERIZED, MAGNESIUM SALT",175.105,[]
977098-98-8,"ROSIN, PARTIALLY DIMERIZED, PEG ESTER",175.105,[]
977013-73-2,"ROSIN, PARTIALLY DIMERIZED, POTASSIUM SALT","175.105, 176.2, 178.312, 178.38, 178.385, 178.387",[]
977013-74-3,"ROSIN, PARTIALLY DIMERIZED, SODIUM SALT","175.105, 176.2, 178.312, 178.38, 178.385, 178.387",[]
977013-75-4,"ROSIN, PARTIALLY DIMERIZED, ZINC SALT","175.105, 176.2, 178.312, 178.38, 178.385, 178.387",[]
977051-87-8,"ROSIN, PARTIALLY HYDROGENATED","172.21, 175.105, 175.3, 176.2, 178.312, 178.38, 178.385, 178.387",[]
977103-57-3,"ROSIN, PARTIALLY HYDROGENATED, GLYCEROL ESTER","175.105, 175.3",[]
977018-49-7,"ROSIN, PARTIALLY POLYMERIZED",175.3,[]
